let varStartTime = datetime('2026-04-23 20:00:00'); 
let varEndTime = datetime('2026-04-23 20:30:00'); 
let varSiteName = 'app-nurexapi-prod-canadaeast';
cluster('wawseus').database('wawsprod').WorkerApacheErrorsEventTable
| where (PreciseTimeStamp >= varStartTime and PreciseTimeStamp < varEndTime)
| where Msg contains varSiteName
//| where ActivityId == ""
| order by PreciseTimeStamp asc
// | project PreciseTimeStamp, Role, RoleInstance, Msg, Tenant, Host, EventPrimaryStampName, EventStampName, EventIpAddress


TIMESTAMP	EventTime	Level	Msg	FluentdIngestTimestamp	Tenant	Role	RoleInstance	Host	PreciseTimeStamp	SourceNamespace	SourceMoniker	SourceVersion	EventStampType	EventPrimaryStampName	EventStampName	Facility	proc_records	proc_bytes	errors	records	bytes	files_opened	time	Tid	Message	EventIpAddress	files_closed	files_rotated	Pid	EventID	set	EventId	Duration	EventName	IpAddress	Reason	ContainerIdList	AdditionalInfo	Error
4/23/2026, 8:06:00 PM	2026-04-23T20:06:27.6481190Z	INFO	Found binding: ~1app-nurexapi-prod-canadaeast : 169.254.130.5:8181 : 169.254.130.5:0 : 04/23/26-15-34-36-3200000-+00:00		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	ln0sdlwk0002LV	4/23/2026, 8:06:27.648119 PM	LWAWS	LWAWSyq09	Ver6v0	Stamp	waws-prod-yq1-017	waws-prod-yq1-017	TuxProxy								13	Found binding: ~1app-nurexapi-prod-canadaeast : 169.254.130.5:8181 : 169.254.130.5:0 : 04/23/26-15-34-36-3200000-+00:00	10.80.0.52			13	1,002									
4/23/2026, 8:06:00 PM	2026-04-23T20:06:28.6744950Z	INFO	HandleGetSiteRuntimeStatus: retrieved status for site app-nurexapi-prod-canadaeast from LWASv2. Response: { "State": "Started", "Action": "None", "LastError": "ContainerTimeout", "LastErrorDetails": "Container did not start within expected time limit of 230s. Please inspect your container logs for more details.", "LastErrorTimestamp": "04/23/2026 15:10:35", "Details": "Site started at 04/23/2026 15:35:08 (UTC)", "DetailsLevel": "INFO" }.		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:06:28.674495 PM	LWAWS	LWAWSyq17	Ver6v0	Stamp	waws-prod-yq1-017	waws-prod-yq1-017	TuxProxy								74	HandleGetSiteRuntimeStatus: retrieved status for site app-nurexapi-prod-canadaeast from LWASv2. Response: { "State": "Started", "Action": "None", "LastError": "ContainerTimeout", "LastErrorDetails": "Container did not start within expected time limit of 230s. Please inspect your container logs for more details.", "LastErrorTimestamp": "04/23/2026 15:10:35", "Details": "Site started at 04/23/2026 15:35:08 (UTC)", "DetailsLevel": "INFO" }.	10.80.0.21			74	1,002									
4/23/2026, 8:06:00 PM	2026-04-23T20:06:28.6768550Z	INFO	AntaresAdminRequestProcessor.HandleGetSiteStatus: Binding Found: True. Site app-nurexapi-prod-canadaeast is using status from LWASv2 response. Status is {"State":"Started","Action":"None","LastError":"ContainerTimeout","LastErrorDetails":"Container did not start within expected time limit of 230s. Please inspect your container logs for more details.","LastErrorTimestamp":"04/23/2026 15:10:35","Details":"Site started at 04/23/2026 15:35:08 (UTC)","DetailsLevel":"INFO"}		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:06:28.676855 PM	LWAWS	LWAWSyq17	Ver6v0	Stamp	waws-prod-yq1-017	waws-prod-yq1-017	TuxProxy								74	AntaresAdminRequestProcessor.HandleGetSiteStatus: Binding Found: True. Site app-nurexapi-prod-canadaeast is using status from LWASv2 response. Status is {"State":"Started","Action":"None","LastError":"ContainerTimeout","LastErrorDetails":"Container did not start within expected time limit of 230s. Please inspect your container logs for more details.","LastErrorTimestamp":"04/23/2026 15:10:35","Details":"Site started at 04/23/2026 15:35:08 (UTC)","DetailsLevel":"INFO"}	10.80.0.21			74	1,002									
4/23/2026, 8:06:00 PM	2026-04-23T20:06:28.6830550Z	INFO	HandleGetSiteRuntimeStatus: retrieved status for site app-nurexapi-prod-canadaeast from LWASv2. Response: { "State": "Stopped", "Action": "None", "LastError": "SiteStartupCancelled", "LastErrorTimestamp": "04/23/2026 20:06:22", "Details": "Site stopped at 04/23/2026 20:06:23 (UTC)", "DetailsLevel": "WARN" }.		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	ln0sdlwk0002LV	4/23/2026, 8:06:28.683055 PM	LWAWS	LWAWSyq09	Ver6v0	Stamp	waws-prod-yq1-017	waws-prod-yq1-017	TuxProxy								3	HandleGetSiteRuntimeStatus: retrieved status for site app-nurexapi-prod-canadaeast from LWASv2. Response: { "State": "Stopped", "Action": "None", "LastError": "SiteStartupCancelled", "LastErrorTimestamp": "04/23/2026 20:06:22", "Details": "Site stopped at 04/23/2026 20:06:23 (UTC)", "DetailsLevel": "WARN" }.	10.80.0.52			3	1,002									
4/23/2026, 8:06:00 PM	2026-04-23T20:06:28.6832350Z	INFO	AntaresAdminRequestProcessor.HandleGetSiteStatus: Binding Found: False. Site app-nurexapi-prod-canadaeast is using status from LWASv2 response. Status is {"State":"Stopped","Action":"None","LastError":"SiteStartupCancelled","LastErrorDetails":"","LastErrorTimestamp":"04/23/2026 20:06:22","Details":"Site stopped at 04/23/2026 20:06:23 (UTC)","DetailsLevel":"WARN"}		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	ln0sdlwk0002LV	4/23/2026, 8:06:28.683235 PM	LWAWS	LWAWSyq09	Ver6v0	Stamp	waws-prod-yq1-017	waws-prod-yq1-017	TuxProxy								3	AntaresAdminRequestProcessor.HandleGetSiteStatus: Binding Found: False. Site app-nurexapi-prod-canadaeast is using status from LWASv2 response. Status is {"State":"Stopped","Action":"None","LastError":"SiteStartupCancelled","LastErrorDetails":"","LastErrorTimestamp":"04/23/2026 20:06:22","Details":"Site stopped at 04/23/2026 20:06:23 (UTC)","DetailsLevel":"WARN"}	10.80.0.52			3	1,002									
4/23/2026, 8:06:00 PM	2026-04-23T20:06:29.2318270Z	INFO	Found binding: ~1app-nurexapi-prod-canadaeast__5b99 : 169.254.131.5:8181 : 169.254.131.5:0 : 04/23/26-15-16-33-8800000-+00:00		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:06:29.231827 PM	LWAWS	LWAWSyq17	Ver6v0	Stamp	waws-prod-yq1-017	waws-prod-yq1-017	TuxProxy								13	Found binding: ~1app-nurexapi-prod-canadaeast__5b99 : 169.254.131.5:8181 : 169.254.131.5:0 : 04/23/26-15-16-33-8800000-+00:00	10.80.0.21			13	1,002									
4/23/2026, 8:06:00 PM	2026-04-23T20:06:29.2318520Z	INFO	Found binding: app-nurexapi-prod-canadaeast__5b99 : 169.254.131.8:8080 : 169.254.131.8:0 : 04/23/26-15-16-33-8800000-+00:00		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:06:29.231852 PM	LWAWS	LWAWSyq17	Ver6v0	Stamp	waws-prod-yq1-017	waws-prod-yq1-017	TuxProxy								13	Found binding: app-nurexapi-prod-canadaeast__5b99 : 169.254.131.8:8080 : 169.254.131.8:0 : 04/23/26-15-16-33-8800000-+00:00	10.80.0.21			13	1,002									
4/23/2026, 8:06:00 PM	2026-04-23T20:06:29.2318760Z	INFO	Found binding: app-nurexapi-prod-canadaeast : 169.254.130.2:8080 : 169.254.130.2:0 : 04/23/26-15-34-36-3200000-+00:00		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:06:29.231876 PM	LWAWS	LWAWSyq17	Ver6v0	Stamp	waws-prod-yq1-017	waws-prod-yq1-017	TuxProxy								13	Found binding: app-nurexapi-prod-canadaeast : 169.254.130.2:8080 : 169.254.130.2:0 : 04/23/26-15-34-36-3200000-+00:00	10.80.0.21			13	1,002									
4/23/2026, 8:06:00 PM	2026-04-23T20:06:34.2263130Z	INFO	Found binding: ~1app-nurexapi-prod-canadaeast__5b99 : 169.254.131.5:8181 : 169.254.131.5:0 : 04/23/26-15-16-33-8800000-+00:00		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:06:34.226313 PM	LWAWS	LWAWSyq17	Ver6v0	Stamp	waws-prod-yq1-017	waws-prod-yq1-017	TuxProxy								13	Found binding: ~1app-nurexapi-prod-canadaeast__5b99 : 169.254.131.5:8181 : 169.254.131.5:0 : 04/23/26-15-16-33-8800000-+00:00	10.80.0.21			13	1,002									
4/23/2026, 8:06:00 PM	2026-04-23T20:06:34.2263400Z	INFO	Found binding: app-nurexapi-prod-canadaeast__5b99 : 169.254.131.8:8080 : 169.254.131.8:0 : 04/23/26-15-16-33-8800000-+00:00		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:06:34.22634 PM	LWAWS	LWAWSyq17	Ver6v0	Stamp	waws-prod-yq1-017	waws-prod-yq1-017	TuxProxy								13	Found binding: app-nurexapi-prod-canadaeast__5b99 : 169.254.131.8:8080 : 169.254.131.8:0 : 04/23/26-15-16-33-8800000-+00:00	10.80.0.21			13	1,002									
